Title,Video URL,Video ID,Embed URL,HTML Embed Code,Transcript Status
UAP Reverse Engineering at Edwards Air Force Base [Redacted List Vol.2],https://www.youtube.com/watch?v=U_LSMLGBDNg,U_LSMLGBDNg,https://www.youtube.com/embed/U_LSMLGBDNg,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/U_LSMLGBDNg"" title=""UAP Reverse Engineering at Edwards Air Force Base [Redacted List Vol.2]"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
"The 1965 Kecksburg, Pennsylvania UFO Crash",https://www.youtube.com/watch?v=rgBTMzFd-hg,rgBTMzFd-hg,https://www.youtube.com/embed/rgBTMzFd-hg,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/rgBTMzFd-hg"" title=""The 1965 Kecksburg, Pennsylvania UFO Crash"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
The Majestic-12 Documents [With Ryan S. Wood],https://www.youtube.com/watch?v=vzB87RJkQVU,vzB87RJkQVU,https://www.youtube.com/embed/vzB87RJkQVU,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/vzB87RJkQVU"" title=""The Majestic-12 Documents [With Ryan S. Wood]"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
"The 1974 Coyame, Mexico UFO Crash",https://www.youtube.com/watch?v=bL3tMByq_WM,bL3tMByq_WM,https://www.youtube.com/embed/bL3tMByq_WM,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bL3tMByq_WM"" title=""The 1974 Coyame, Mexico UFO Crash"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
Off-World Technologies Division – UAP Technology Reverse Engineering,https://www.youtube.com/watch?v=QJ215I85d5M,QJ215I85d5M,https://www.youtube.com/embed/QJ215I85d5M,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/QJ215I85d5M"" title=""Off-World Technologies Division – UAP Technology Reverse Engineering"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
Michael Herrera - Insights into UAP Encounter and Black Program Insiders,https://www.youtube.com/watch?v=4EMO38JUfVE,4EMO38JUfVE,https://www.youtube.com/embed/4EMO38JUfVE,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/4EMO38JUfVE"" title=""Michael Herrera - Insights into UAP Encounter and Black Program Insiders"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
"""US Special Forces Confession - I Recovered Crashed UFOs"": Fact or Fiction?",https://www.youtube.com/watch?v=DcvuglS7ps4,DcvuglS7ps4,https://www.youtube.com/embed/DcvuglS7ps4,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/DcvuglS7ps4"" title=""&quot;US Special Forces Confession - I Recovered Crashed UFOs&quot;: Fact or Fiction?"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
UFO Whistleblowers [Vol.2],https://www.youtube.com/watch?v=9Xk4X41yl2M,9Xk4X41yl2M,https://www.youtube.com/embed/9Xk4X41yl2M,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/9Xk4X41yl2M"" title=""UFO Whistleblowers [Vol.2]"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
"The 1950s Del Rio, Texas UFO Crashes",https://www.youtube.com/watch?v=8S9qdRWSnD8,8S9qdRWSnD8,https://www.youtube.com/embed/8S9qdRWSnD8,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/8S9qdRWSnD8"" title=""The 1950s Del Rio, Texas UFO Crashes"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
UFO Whistleblowers [Vol.1],https://www.youtube.com/watch?v=EKEZ2BClIb0,EKEZ2BClIb0,https://www.youtube.com/embed/EKEZ2BClIb0,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/EKEZ2BClIb0"" title=""UFO Whistleblowers [Vol.1]"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
USO Case Book: Unidentified Submerged Objects Throughout History,https://www.youtube.com/watch?v=Yn-83KbgRN8,Yn-83KbgRN8,https://www.youtube.com/embed/Yn-83KbgRN8,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Yn-83KbgRN8"" title=""USO Case Book: Unidentified Submerged Objects Throughout History"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
USO - Unidentified Submerged Objects,https://www.youtube.com/watch?v=U-jrx_giINA,U-jrx_giINA,https://www.youtube.com/embed/U-jrx_giINA,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/U-jrx_giINA"" title=""USO - Unidentified Submerged Objects"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
Dr. Robert Sarbacher & the US Government's Secret UFO Crash Retrieval Group,https://www.youtube.com/watch?v=R7DyJRf14nU,R7DyJRf14nU,https://www.youtube.com/embed/R7DyJRf14nU,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/R7DyJRf14nU"" title=""Dr. Robert Sarbacher & the US Government&#39;s Secret UFO Crash Retrieval Group"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
Michael Herrera: UFO Whistleblower (ft. Joeyisnotmyname),https://www.youtube.com/watch?v=6DyTfIV87Ck,6DyTfIV87Ck,https://www.youtube.com/embed/6DyTfIV87Ck,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/6DyTfIV87Ck"" title=""Michael Herrera: UFO Whistleblower (ft. Joeyisnotmyname)"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
"The 1933 Magenta, Italy UFO Crash",https://www.youtube.com/watch?v=FGiwgyLY7Aw,FGiwgyLY7Aw,https://www.youtube.com/embed/FGiwgyLY7Aw,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/FGiwgyLY7Aw"" title=""The 1933 Magenta, Italy UFO Crash"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
The Physics of UFOs– Dr. Kevin Knuth,https://www.youtube.com/watch?v=inyw4Vfu7Z0,inyw4Vfu7Z0,https://www.youtube.com/embed/inyw4Vfu7Z0,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/inyw4Vfu7Z0"" title=""The Physics of UFOs– Dr. Kevin Knuth"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
"The 1953 Kingman, Arizona UFO Crash",https://www.youtube.com/watch?v=41V4Pf_8oo4,41V4Pf_8oo4,https://www.youtube.com/embed/41V4Pf_8oo4,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/41V4Pf_8oo4"" title=""The 1953 Kingman, Arizona UFO Crash"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
FASTWALKERS – UFOs Outside Earth,https://www.youtube.com/watch?v=Tubx-CaAaOs,Tubx-CaAaOs,https://www.youtube.com/embed/Tubx-CaAaOs,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Tubx-CaAaOs"" title=""FASTWALKERS – UFOs Outside Earth"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
UFOs in the Private Sector - Lockheed Martin,https://www.youtube.com/watch?v=tVdzvvbbHW4,tVdzvvbbHW4,https://www.youtube.com/embed/tVdzvvbbHW4,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/tVdzvvbbHW4"" title=""UFOs in the Private Sector - Lockheed Martin"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
UFOs in the Private Sector - Battelle Memorial Institute,https://www.youtube.com/watch?v=tISTJRPOqFo,tISTJRPOqFo,https://www.youtube.com/embed/tISTJRPOqFo,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/tISTJRPOqFo"" title=""UFOs in the Private Sector - Battelle Memorial Institute"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
SOL Foundation: Karl Nell - A Key Figure in UAP Disclosure,https://www.youtube.com/watch?v=kKbSIfc7N7Q,kKbSIfc7N7Q,https://www.youtube.com/embed/kKbSIfc7N7Q,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/kKbSIfc7N7Q"" title=""SOL Foundation: Karl Nell - A Key Figure in UAP Disclosure"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
Incredible UFO Footage - METAPOD,https://www.youtube.com/watch?v=i6fitvV-aO0,i6fitvV-aO0,https://www.youtube.com/embed/i6fitvV-aO0,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/i6fitvV-aO0"" title=""Incredible UFO Footage - METAPOD"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
The Origin of the UFO Stigma,https://www.youtube.com/watch?v=xKArN8S9bnM,xKArN8S9bnM,https://www.youtube.com/embed/xKArN8S9bnM,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xKArN8S9bnM"" title=""The Origin of the UFO Stigma"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
Incredible UFO Footage - FLYBY,https://www.youtube.com/watch?v=qD1KnudMCO0,qD1KnudMCO0,https://www.youtube.com/embed/qD1KnudMCO0,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qD1KnudMCO0"" title=""Incredible UFO Footage - FLYBY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
Global Air Force UFO Encounters You've Probably Never Heard of,https://www.youtube.com/watch?v=6cVe-hdMTCE,6cVe-hdMTCE,https://www.youtube.com/embed/6cVe-hdMTCE,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/6cVe-hdMTCE"" title=""Global Air Force UFO Encounters You&#39;ve Probably Never Heard of"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
UFOs and Nuclear Weapons - A Fascinating Connection,https://www.youtube.com/watch?v=-DK2u8HlhDE,-DK2u8HlhDE,https://www.youtube.com/embed/-DK2u8HlhDE,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-DK2u8HlhDE"" title=""UFOs and Nuclear Weapons - A Fascinating Connection"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
The Modern Day UFO Disinformation Agent - Dr. Sean Kirkpatrick's Lies,https://www.youtube.com/watch?v=hK24ZdkvwN4,hK24ZdkvwN4,https://www.youtube.com/embed/hK24ZdkvwN4,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/hK24ZdkvwN4"" title=""The Modern Day UFO Disinformation Agent - Dr. Sean Kirkpatrick&#39;s Lies"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
MOON DUST - The Pentagon's Secret UFO Programs,https://www.youtube.com/watch?v=6ZuHLgVtKu8,6ZuHLgVtKu8,https://www.youtube.com/embed/6ZuHLgVtKu8,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/6ZuHLgVtKu8"" title=""MOON DUST - The Pentagon&#39;s Secret UFO Programs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
The First Commercial Flight Grounded Due to UFOs,https://www.youtube.com/watch?v=K_BZkOAw6E0,K_BZkOAw6E0,https://www.youtube.com/embed/K_BZkOAw6E0,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/K_BZkOAw6E0"" title=""The First Commercial Flight Grounded Due to UFOs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
The Marines Who Got too Close to UFOs,https://www.youtube.com/watch?v=HnxylCl68Tg,HnxylCl68Tg,https://www.youtube.com/embed/HnxylCl68Tg,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/HnxylCl68Tg"" title=""The Marines Who Got too Close to UFOs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
The Alien and UFO Obscure Oddities Iceberg (Level 2),https://www.youtube.com/watch?v=9FL04mqyZxk,9FL04mqyZxk,https://www.youtube.com/embed/9FL04mqyZxk,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/9FL04mqyZxk"" title=""The Alien and UFO Obscure Oddities Iceberg (Level 2)"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
The Alien and UFO Obscure Oddities Iceberg (Level 1),https://www.youtube.com/watch?v=1en219Vk9K4,1en219Vk9K4,https://www.youtube.com/embed/1en219Vk9K4,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/1en219Vk9K4"" title=""The Alien and UFO Obscure Oddities Iceberg (Level 1)"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
The Wilson Davis Memo and US Secret UFO Reverse Engineering Programs,https://www.youtube.com/watch?v=yIqkazIZh9I,yIqkazIZh9I,https://www.youtube.com/embed/yIqkazIZh9I,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/yIqkazIZh9I"" title=""The Wilson Davis Memo and US Secret UFO Reverse Engineering Programs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Transcript extraction requires additional API access or tools like yt-dlp with proper configuration
